County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	Blacks Total	Blacks Added	Blacks Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted
Lafayette	4432	7	14	2803	1	10	7	3	1326	5	3	2	5	249	1	1	1	0	54	0	0	0	2	5	2	247	0	0	4050	6	14	135	1	0	2128	3	3	2300	4	11	150	0	0	223	0	0	14	0	0	48	0	0	40	1	0	696	2	1	672	4	3	740	0	0	785	0	3	736	0	0	773	1	7	288	2	0	329	0	1
Lake	226692	1205	702	72769	327	242	90	62	96728	498	301	38	169	48600	356	138	107	45	8595	24	21	48	7	70	20	18514	98	40	180120	917	586	28058	190	76	104142	550	339	122542	653	363	10718	66	19	14634	72	29	1029	4	4	7981	42	30	3750	28	9	30356	252	107	27323	143	73	31699	132	71	37776	190	106	41430	272	92	56662	211	251	9998	90	30	9282	73	39
Lee	458781	3456	919	128112	728	295	181	156	188246	1276	387	87	460	128766	1355	214	378	75	13657	97	23	60	15	148	46	26074	169	47	371541	2707	781	61166	580	91	211147	1656	467	240002	1650	437	14791	94	24	19020	83	36	1290	6	1	16602	139	26	8411	67	13	62560	998	96	54069	323	58	58112	319	63	76885	563	93	92780	827	180	113148	424	426	17427	304	28	17247	238	27
Leon	205475	734	557	107228	292	251	81	98	55688	223	170	34	95	37196	194	119	95	29	5363	25	17	21	9	59	24	57515	166	118	127160	485	376	20800	83	63	89601	355	247	110366	347	299	34177	90	62	48542	112	94	1345	8	4	3146	19	7	1767	6	6	63677	385	238	37348	97	64	27388	81	56	29057	77	54	26924	65	55	20215	24	89	13882	102	70	31498	172	95
Levy	27049	139	108	10231	24	43	27	4	11467	74	40	1	39	3879	38	21	7	2	1472	3	4	11	1	26	0	2229	5	11	23233	120	97	1587	14	0	12524	58	47	14436	79	61	1277	3	4	1893	3	9	118	0	0	355	2	0	234	3	0	4131	39	16	3219	14	10	3525	19	15	5121	23	19	5470	28	16	5530	14	32	1667	18	7	1210	8	5
Liberty	4612	16	14	3605	10	13	7	2	619	1	0	1	7	356	5	1	2	1	32	0	0	0	0	7	0	407	1	3	4066	15	11	139	0	0	2163	5	7	2437	11	7	212	0	2	375	1	3	10	0	0	26	0	0	12	0	0	911	8	4	747	3	3	731	1	1	856	2	3	691	0	0	659	2	3	156	1	0	614	4	3
Madison	12202	38	25	7950	16	11	6	1	2907	18	11	0	7	1093	4	2	2	0	252	0	1	1	1	5	0	4253	6	5	7351	28	17	598	4	3	5381	19	10	6564	19	15	2494	3	3	3936	6	4	91	0	0	54	1	0	39	1	1	2000	12	1	1802	2	1	1833	3	3	2147	13	7	2224	5	3	2167	3	10	442	5	1	1181	5	0
Manatee	235502	1860	636	73700	498	219	117	71	98423	756	261	36	237	56710	574	135	183	48	6669	32	21	22	2	89	17	15694	95	34	196972	1488	557	22836	277	45	106258	824	292	126252	916	334	9296	46	19	12558	65	26	656	9	3	5384	45	15	2647	20	5	29153	613	91	28267	165	62	32104	167	68	42274	300	69	46884	387	99	55990	225	241	9150	203	30	8811	165	22
Monroe	59550	471	228	18826	122	74	22	42	21236	183	84	9	47	17666	161	62	56	6	1822	5	8	10	2	18	8	2094	19	7	49650	398	187	7806	54	34	30510	255	120	28349	212	108	1024	8	3	1472	13	5	104	1	1	1828	12	11	1991	13	4	6909	109	30	7697	68	27	8748	60	21	12688	110	41	12933	89	52	10097	32	55	1657	42	4	1885	32	6
Marion	241669	1322	659	84818	372	222	138	82	101672	581	301	46	266	44545	346	109	148	41	10634	23	27	60	3	117	27	24128	98	42	191653	1035	564	25888	189	53	109207	650	310	130996	651	345	14238	51	28	20197	69	35	1084	7	3	8405	69	16	4041	29	7	33013	356	79	26862	128	76	29361	139	57	38590	192	68	46090	309	95	67089	198	283	11132	118	30	11456	125	27
